PlayerID,FullName,YearID,WARYearOne,WARYearTwo,WARYearThree,WARYearFour,WARYearFive,WARYearSix
1727,Kelly Shoppach,2003,,,-0.3,0.4,1.2,3.0
2367,Dustin Brown,2003,,,,,,
2700,Miguel Olivo,2003,0.9,0.9,-0.2,1.5,0.7,0.4
3663,Joey Votto,2003,,,,,-0.1,3.6
1414,Dane Sardinha,2003,0.0,,-0.1,,,-0.1
3958,Miguel Perez,2003,,,-0.1,,,
2328,Jesse Gutierrez,2003,,,,,,
5376,Victor Martinez,2003,0.1,3.3,4.7,2.8,5.4,0.5
1282,Josh Bard,2003,0.8,0.4,-0.1,2.7,1.1,-0.2
193,J.D. Closser,2003,,0.2,-0.1,-0.1,,
1547,Maxim St. Pierre,2003,,,,,,
706,Josh Willingham,2003,,0.0,0.1,1.9,1.8,2.6
1787,Ryan Jorgensen,2003,,,-0.1,,0.1,0.0
2598,John Buck,2003,,0.3,0.9,0.8,1.1,0.5
4017,Hector Gimenez,2003,,,,0.0,,
580,Mike Tonis,2003,,-0.1,,,,
1614,Ronny Paulino,2003,,,0.1,1.9,1.1,0.2
902,Adam Donachie,2003,,,,,,
977,Koyie Hill,2003,0.0,-0.1,0.0,,-0.5,-0.4
3220,Mike Nixon,2003,,,,,,
165,Jason Belcher,2003,,,,,,
1579,Joe Mauer,2003,,1.2,3.4,5.8,3.3,6.4
584,Dioner Navarro,2003,,0.0,0.7,0.4,-0.1,-0.7
2530,Justin Huber,2003,,,-0.8,0.0,-0.2,0.0
3991,Jason Phillips,2003,1.0,-0.9,-1.0,-0.5,-1.0,
4463,Jeremy Brown,2003,,,,0.0,,
2033,Jason Grabowski,2003,-0.1,-0.5,-1.2,,,
550,Humberto Cota,2003,0.0,0.3,0.4,-0.7,0.0,
1343,Ryan Doumit,2003,,,0.6,0.0,2.1,-3.4
4723,J.R. House,2003,0.0,-0.1,,-0.3,0.0,-0.1
4844,Nick Trzesniak,2003,,,,,,
1613,Ryan Christianson,2003,,,,,,
2914,Rene Rivera,2003,,-0.1,0.4,-0.6,,
2055,Trey Lunsford,2003,0.0,,,,,
2671,Yadier Molina,2003,,0.4,1.1,-0.3,1.4,4.5
391,Pete LaForest,2003,-0.7,,-0.4,,0.1,
2836,Shawn Riggans,2003,,,,0.0,-0.2,0.3
4751,Gerald Laird,2003,0.3,-0.1,-0.1,1.6,1.1,-0.6
1979,Jayson Werth,2003,0.1,2.4,1.2,,3.2,5.1
5091,Kevin Cash,2003,-1.0,-0.1,0.1,,-0.2,0.2
4998,Guillermo Quiroz,2003,,-0.4,-0.2,0.0,0.1,-0.2
1297,Jeff Mathis,2004,,0.0,-0.3,0.3,1.2,0.7
1421,Bobby Wilson,2004,,,,,0.0,-0.1
4784,Jared Abruzzo,2004,,,,,,
627,Chris Snyder,2004,0.6,-0.4,0.8,1.6,2.0,0.0
742,Brian McCann,2004,,0.5,4.3,1.5,8.6,6.3
1761,Jarrod Saltalamacchia,2004,,,,-0.2,-0.3,0.3
82,Brayan Pena,2004,,-0.5,0.1,-0.2,0.0,0.3
4419,Eli Whiteside,2004,,0.0,,,,0.1
1727,Kelly Shoppach,2004,,-0.3,0.4,1.2,3.0,0.0
2367,Dustin Brown,2004,,,,,,0.2
3958,Miguel Perez,2004,,-0.1,,,,
1414,Dane Sardinha,2004,,-0.1,,,-0.1,-0.8
97,Javi Herrera,2004,,,,,,
4336,David Wallace,2004,,,,,,
5108,Neil Wilson,2004,,,,,,
193,J.D. Closser,2004,0.2,-0.1,-0.1,,,
2450,Chris Shelton,2004,-0.2,2.5,1.1,,0.0,-0.1
706,Josh Willingham,2004,0.0,0.1,1.9,1.8,2.6,2.4
2598,John Buck,2004,0.3,0.9,0.8,1.1,0.5,0.1
4017,Hector Gimenez,2004,,,0.0,,,
902,Adam Donachie,2004,,,,,,
580,Mike Tonis,2004,-0.1,,,,,
977,Koyie Hill,2004,-0.1,0.0,,-0.5,-0.4,-0.5
680,Russell Martin,2004,,,2.4,5.5,7.9,3.1
3220,Mike Nixon,2004,,,,,,
3785,Lou Palmisano,2004,,,,,,
1579,Joe Mauer,2004,1.2,3.4,5.8,3.3,6.4,8.4
805,Rob Bowen,2004,-0.3,,0.5,0.6,-0.8,
740,Jose Morales,2004,,,,0.2,,0.0
584,Dioner Navarro,2004,0.0,0.7,0.4,-0.1,-0.7,0.0
2929,Jon-Mark Sprowl,2004,,,,,,
2530,Justin Huber,2004,,-0.8,0.0,-0.2,0.0,-0.1
4541,Mike Jacobs,2004,,1.1,0.3,-0.5,-1.0,-0.9
4463,Jeremy Brown,2004,,,0.0,,,
264,John Baker,2004,,,,,1.8,0.9
1343,Ryan Doumit,2004,,0.6,0.0,2.1,-3.4,-2.1
4723,J.R. House,2004,-0.1,,-0.3,0.0,-0.1,
2947,Humberto Quintero,2004,0.1,-0.5,0.3,-0.1,0.4,0.7
5415,Greg Sain,2004,,,,,,
1861,George Kottaras,2004,,,,,0.0,0.0
2914,Rene Rivera,2004,-0.1,0.4,-0.6,,,
1613,Ryan Christianson,2004,,,,,,
5157,Todd Jennings,2004,,,,,,
2732,Justin Knoedler,2004,0.0,-0.1,-0.2,,,
2671,Yadier Molina,2004,0.4,1.1,-0.3,1.4,4.5,5.1
3202,Daric Barton,2004,,,,1.2,0.7,0.8
391,Pete LaForest,2004,,-0.4,,0.1,,
2836,Shawn Riggans,2004,,,0.0,-0.2,0.3,-0.1
4751,Gerald Laird,2004,-0.1,-0.1,1.6,1.1,-0.6,-1.6
4998,Guillermo Quiroz,2004,-0.4,-0.2,0.0,0.1,-0.2,0.0
5091,Kevin Cash,2004,-0.1,0.1,,-0.2,0.2,-0.1
627,Chris Snyder,2005,-0.4,0.8,1.6,2.0,0.0,1.9
977,Koyie Hill,2005,0.0,,-0.5,-0.4,-0.5,-1.3
5266,Phil Avlas,2005,,,,,,
742,Brian McCann,2005,0.5,4.3,1.5,8.6,6.3,6.7
1761,Jarrod Saltalamacchia,2005,,,-0.2,-0.3,0.3,0.1
4419,Eli Whiteside,2005,0.0,,,,0.1,0.8
1727,Kelly Shoppach,2005,-0.3,0.4,1.2,3.0,0.0,0.4
517,Francisco Hernandez,2005,,,,,,
270,Geovany Soto,2005,0.0,-0.1,0.9,3.0,1.3,4.1
1502,Mark Reed,2005,,,,,,
3958,Miguel Perez,2005,-0.1,,,,,
1414,Dane Sardinha,2005,-0.1,,,-0.1,-0.8,0.2
1115,Craig Tatum,2005,,,,,0.0,0.7
10,Ryan Garko,2005,0.0,0.3,0.5,-0.2,0.7,-0.6
193,J.D. Closser,2005,-0.1,-0.1,,,,
1419,Chris Iannetta,2005,,0.1,0.3,0.4,1.6,-0.3
2450,Chris Shelton,2005,2.5,1.1,,0.0,-0.1,
706,Josh Willingham,2005,0.1,1.9,1.8,2.6,2.4,2.5
4017,Hector Gimenez,2005,,0.0,,,,
1083,Lou Santangelo,2005,,,,,,
2530,Justin Huber,2005,-0.8,0.0,-0.2,0.0,-0.1,
1297,Jeff Mathis,2005,0.0,-0.3,0.3,1.2,0.7,-0.6
4558,Mike Napoli,2005,,2.5,1.5,1.8,2.1,2.1
680,Russell Martin,2005,,2.4,5.5,7.9,3.1,3.1
584,Dioner Navarro,2005,0.7,0.4,-0.1,-0.7,0.0,-0.2
3785,Lou Palmisano,2005,,,,,,
2230,Angel Salome,2005,,,,-0.1,,
1579,Joe Mauer,2005,3.4,5.8,3.3,6.4,8.4,5.7
1728,Omir Santos,2005,,,,-0.2,-0.7,
4484,Jesus Flores,2005,,,0.4,-0.3,0.8,
4541,Mike Jacobs,2005,1.1,0.3,-0.5,-1.0,-0.9,0.1
3202,Daric Barton,2005,,,1.2,0.7,0.8,5.0
4131,Kurt Suzuki,2005,,,1.2,3.9,1.9,1.2
1129,Landon Powell,2005,,,,,0.4,0.0
264,John Baker,2005,,,,1.8,0.9,-0.2
299,Carlos Ruiz,2005,,0.2,1.4,0.6,2.5,3.8
4211,Jason Jaramillo,2005,,,,,-0.7,-0.8
2454,Lou Marson,2005,,,,0.2,-0.1,-1.1
3669,Neil Walker,2005,,,,,-0.4,1.9
1343,Ryan Doumit,2005,0.6,0.0,2.1,-3.4,-2.1,-2.2
4278,Steve Lerud,2005,,,,,,
4723,J.R. House,2005,,-0.3,0.0,-0.1,,
1861,George Kottaras,2005,,,,0.0,0.0,0.0
2947,Humberto Quintero,2005,-0.5,0.3,-0.1,0.4,0.7,0.8
2284,Billy Killian,2005,,,,,,
2914,Rene Rivera,2005,0.4,-0.6,,,,
2804,Rob Johnson,2005,,,0.0,-0.4,-2.0,-1.7
2732,Justin Knoedler,2005,-0.1,-0.2,,,,
5157,Todd Jennings,2005,,,,,,
3108,Pablo Sandoval,2005,,,,1.0,5.2,1.1
4697,Brandon Yarbrough,2005,,,,,,
3880,Gabe Johnson,2005,,,,,,
2836,Shawn Riggans,2005,,0.0,-0.2,0.3,-0.1,
3853,John Jaso,2005,,,,-0.1,,1.0
645,Mike Nickeas,2005,,,,,,-0.1
4998,Guillermo Quiroz,2005,-0.2,0.0,0.1,-0.2,0.0,0.0
1580,Curtis Thigpen,2005,,,-0.3,0.2,,
3850,Robinzon Diaz,2005,,,,0.1,-0.3,
4151,Erick San Pedro,2005,,,,,,
2623,Miguel Montero,2006,0.0,-0.3,0.9,4.5,2.0,5.9
1761,Jarrod Saltalamacchia,2006,,-0.2,-0.3,0.3,0.1,2.7
82,Brayan Pena,2006,0.1,-0.2,0.0,0.3,0.7,1.3
4248,Max Ramirez,2006,,,0.0,,-0.5,
1926,Clint Sammons,2006,,0.1,-0.5,0.1,,
4912,Brandon Snyder,2006,,,,,0.1,0.0
4419,Eli Whiteside,2006,,,,0.1,0.8,1.2
1727,Kelly Shoppach,2006,0.4,1.2,3.0,0.0,0.4,0.6
4263,Jon Egan,2006,,,,,,
517,Francisco Hernandez,2006,,,,,,
724,Chris Stewart,2006,-0.1,0.0,-0.1,,0.0,2.8
809,Gustavo Molina,2006,,-0.3,0.0,,-0.3,0.0
270,Geovany Soto,2006,-0.1,0.9,3.0,1.3,4.1,3.4
1502,Mark Reed,2006,,,,,,
3958,Miguel Perez,2006,,,,,,
10,Ryan Garko,2006,0.3,0.5,-0.2,0.7,-0.6,
1419,Chris Iannetta,2006,0.1,0.3,0.4,1.6,-0.3,1.2
1892,Chris Robinson,2006,,,,,,
706,Josh Willingham,2006,1.9,1.8,2.6,2.4,2.5,2.1
4541,Mike Jacobs,2006,0.3,-0.5,-1.0,-0.9,0.1,
616,J.R. Towles,2006,,0.6,-1.0,-0.1,0.1,0.0
1083,Lou Santangelo,2006,,,,,,
4017,Hector Gimenez,2006,0.0,,,,,-0.1
902,Adam Donachie,2006,,,,,,
1297,Jeff Mathis,2006,-0.3,0.3,1.2,0.7,-0.6,0.0
4558,Mike Napoli,2006,2.5,1.5,1.8,2.1,2.1,4.3
1421,Bobby Wilson,2006,,,0.0,-0.1,0.8,-0.1
680,Russell Martin,2006,2.4,5.5,7.9,3.1,3.1,5.3
3785,Lou Palmisano,2006,,,,,,
2230,Angel Salome,2006,,,-0.1,,,
4484,Jesus Flores,2006,,0.4,-0.3,0.8,,0.2
4863,Andy Wilson,2006,,,,,,
4131,Kurt Suzuki,2006,,1.2,3.9,1.9,1.2,1.0
1129,Landon Powell,2006,,,,0.4,0.0,-0.7
4211,Jason Jaramillo,2006,,,,-0.7,-0.8,-0.3
299,Carlos Ruiz,2006,0.2,1.4,0.6,2.5,3.8,1.4
2454,Lou Marson,2006,,,0.2,-0.1,-1.1,-1.1
3669,Neil Walker,2006,,,,-0.4,1.9,2.5
1614,Ronny Paulino,2006,1.9,1.1,0.2,1.3,0.4,-1.3
1861,George Kottaras,2006,,,0.0,0.0,0.0,0.3
3622,Nick Hundley,2006,,,-0.4,0.7,0.8,2.2
2284,Billy Killian,2006,,,,,,
1451,Colt Morton,2006,,0.0,-0.1,,,
3296,Jeff Clement,2006,,0.3,-0.4,,-0.3,
2223,Kenji Johjima,2006,2.8,2.5,-1.6,0.0,,
2804,Rob Johnson,2006,,0.0,-0.4,-2.0,-1.7,-1.0
2914,Rene Rivera,2006,-0.6,,,,,0.0
2732,Justin Knoedler,2006,-0.2,,,,,
2836,Shawn Riggans,2006,0.0,-0.2,0.3,-0.1,,
3853,John Jaso,2006,,,-0.1,,1.0,-1.3
5348,Taylor Teagarden,2006,,,1.0,1.1,0.1,0.2
2355,Cristian Santana,2006,,,,,,
645,Mike Nickeas,2006,,,,,-0.1,-0.1
2188,Manuel Pina,2006,,,,,,0.0
1580,Curtis Thigpen,2006,,-0.3,0.2,,,
4998,Guillermo Quiroz,2006,0.0,0.1,-0.2,0.0,0.0,
3850,Robinzon Diaz,2006,,,0.1,-0.3,,
2860,Devin Ivany,2006,,,,,,
3767,Salomon Manriquez,2006,,,,,,
2623,Miguel Montero,2007,-0.3,0.9,4.5,2.0,5.9,5.6
1761,Jarrod Saltalamacchia,2007,-0.2,-0.3,0.3,0.1,2.7,2.9
82,Brayan Pena,2007,-0.2,0.0,0.3,0.7,1.3,-0.3
1926,Clint Sammons,2007,0.1,-0.5,0.1,,,
4912,Brandon Snyder,2007,,,,0.1,0.0,0.2
4723,J.R. House,2007,0.0,-0.1,,,,
902,Adam Donachie,2007,,,,,,
1861,George Kottaras,2007,,0.0,0.0,0.0,0.3,0.9
4263,Jon Egan,2007,,,,,,
3983,Ty Weeden,2007,,,,,,
724,Chris Stewart,2007,0.0,-0.1,,0.0,2.8,1.8
517,Francisco Hernandez,2007,,,,,,
1502,Mark Reed,2007,,,,,,
270,Geovany Soto,2007,0.9,3.0,1.3,4.1,3.4,1.1
1892,Chris Robinson,2007,,,,,,
2771,Jake Fox,2007,-0.2,,0.1,-0.8,-0.4,
3958,Miguel Perez,2007,,,,,,
2023,Matt McBride,2007,,,,,,-1.0
1727,Kelly Shoppach,2007,1.2,3.0,0.0,0.4,0.6,1.0
5034,Wyatt Toregas,2007,,,-0.5,,-0.1,
4248,Max Ramirez,2007,,0.0,,-0.5,,
1419,Chris Iannetta,2007,0.3,0.4,1.6,-0.3,1.2,-0.1
5416,Alvin Colina,2007,,,,,,
223,Mike Rabelo,2007,-0.1,-1.5,,,,
3514,Gaby Sanchez,2007,,0.1,0.1,1.8,2.7,-0.3
647,Brett Hayes,2007,,,0.1,-0.4,-0.2,-1.0
616,J.R. Towles,2007,0.6,-1.0,-0.1,0.1,0.0,
758,Max Sapp,2007,,,,,,
1083,Lou Santangelo,2007,,,,,,
4017,Hector Gimenez,2007,,,,,-0.1,0.2
434,Hank Conger,2007,,,,-0.2,0.7,-0.1
1297,Jeff Mathis,2007,0.3,1.2,0.7,-0.6,0.0,1.7
1421,Bobby Wilson,2007,,0.0,-0.1,0.8,-0.1,1.5
1427,Carlos Santana,2007,,,,1.6,0.3,0.0
2230,Angel Salome,2007,,-0.1,,,,
1400,Vinny Rottino,2007,-0.1,0.0,,,0.0,0.1
4988,Jesus Montero,2007,,,,,0.5,-1.4
4266,Francisco Pena,2007,,,,,,
645,Mike Nickeas,2007,,,,-0.1,-0.1,-0.4
4131,Kurt Suzuki,2007,1.2,3.9,1.9,1.2,1.0,-0.8
1129,Landon Powell,2007,,,0.4,0.0,-0.7,
3438,Anthony Recker,2007,,,,,0.0,-0.3
299,Carlos Ruiz,2007,1.4,0.6,2.5,3.8,1.4,4.7
2454,Lou Marson,2007,,0.2,-0.1,-1.1,-1.1,-0.8
4211,Jason Jaramillo,2007,,,-0.7,-0.8,-0.3,
3669,Neil Walker,2007,,,-0.4,1.9,2.5,2.4
4278,Steve Lerud,2007,,,,,,-0.1
3622,Nick Hundley,2007,,-0.4,0.7,0.8,2.2,-1.7
1451,Colt Morton,2007,0.0,-0.1,,,,
3296,Jeff Clement,2007,0.3,-0.4,,-0.3,,-0.3
2804,Rob Johnson,2007,0.0,-0.4,-2.0,-1.7,-1.0,-0.4
5247,Bryan Anderson,2007,,,,-0.2,,0.0
2836,Shawn Riggans,2007,-0.2,0.3,-0.1,,,
3853,John Jaso,2007,,-0.1,,1.0,-1.3,2.0
5348,Taylor Teagarden,2007,,1.0,1.1,0.1,0.2,-0.4
2573,Chad Tracy,2007,,,,,,
1580,Curtis Thigpen,2007,-0.3,0.2,,,,
3850,Robinzon Diaz,2007,,0.1,-0.3,,,
1865,Brian Jeroloman,2007,,,,,,
4484,Jesus Flores,2007,0.4,-0.3,0.8,,0.2,-0.1
3379,Brian Peacock,2007,,,,,,
2860,Devin Ivany,2007,,,,,,
2143,Wilkin Castillo,2008,-0.1,0.1,,,,
5351,Ed Easley,2008,,,,,,
